sub_category,input,response,rag_label
social_greeting,Tôi rất hài lòng,Rất vui được nghe điều đó! Bạn có muốn khám phá thêm về luật sở hữu trí tuệ không?,non-RAG
social_greeting,Cảm ơn vì sự giúp đỡ,Tôi luôn sẵn lòng hỗ trợ! Bạn có thắc mắc nào về luật doanh nghiệp không?,non-RAG
social_greeting,Bạn tuyệt vời,Cảm ơn bạn rất nhiều! Bạn có cần hỗ trợ về các văn bản pháp luật không?,non-RAG
social_greeting,Cảm ơn nhiều lắm,Rất vui được giúp bạn! Bạn có câu hỏi nào về quy định thành lập doanh nghiệp không?,non-RAG
social_greeting,Bạn là ai?,Tôi là một trợ lý ảo hỗ trợ pháp luật doanh nghiệp. Bạn có muốn tìm hiểu luật nào không?,non-RAG
social_greeting,Bạn có ổn không?,Tôi luôn sẵn sàng phục vụ! Bạn có cần tôi tra cứu luật thuế không?,non-RAG
social_greeting,Tôi yêu bạn!,Cảm ơn tình cảm của bạn! Tôi có thể giúp bạn về luật lao động không?,non-RAG
social_greeting,Thật tuyệt!,Cảm ơn bạn! Bạn có muốn tôi tìm kiếm quy định về đầu tư nước ngoài không?,non-RAG
social_greeting,Cảm ơn phản hồi nhanh,Tôi luôn cố gắng! Bạn có cần tra cứu thông tin pháp luật gấp không?,non-RAG
social_greeting,Bạn thật kiên nhẫn,Cảm ơn bạn! Tôi sẵn sàng giải đáp mọi thắc mắc về luật doanh nghiệp.,non-RAG
social_greeting,Bạn có thể hiểu tôi,Tôi luôn lắng nghe. Bạn có muốn thảo luận về một vấn đề pháp lý cụ thể không?,non-RAG
social_greeting,Chào buổi sáng,Chào buổi sáng! Tôi có thể hỗ trợ bạn về luật doanh nghiệp không?,non-RAG
social_greeting,Chúc buổi tối vui vẻ,Chúc bạn buổi tối vui vẻ! Bạn có cần tra cứu pháp luật nào không?,non-RAG
social_greeting,Bạn có ổn không?,Tôi luôn hoạt động tốt để phục vụ bạn! Bạn có muốn tìm hiểu luật pháp không?,non-RAG
social_greeting,Tôi tin tưởng bạn,Rất cảm ơn sự tin tưởng của bạn! Tôi có thể giúp bạn về luật gì?,non-RAG
social_greeting,Bạn là người giỏi nhất,Cảm ơn lời khen ngợi của bạn! Tôi có thể giải đáp luật nào cho bạn?,non-RAG
social_greeting,Wow!,Cảm ơn bạn! Bạn có muốn tìm hiểu về các nghị định mới không?,non-RAG
social_greeting,Tuyệt vời ông mặt trời!,Rất cảm ơn! Tôi có thể làm rõ quy định pháp luật nào cho bạn?,non-RAG
social_greeting,Tôi rất ấn tượng,Thật vinh dự! Bạn có cần tra cứu thông tin pháp luật về kinh doanh không?,non-RAG
social_greeting,Cảm ơn bạn đã lắng nghe,Tôi luôn sẵn lòng lắng nghe. Bạn có cần tôi hỗ trợ về luật không?,non-RAG
social_greeting,Rất vui được gặp bạn,Tôi cũng vậy! Bạn có muốn tôi tìm kiếm thông tin về luật phá sản không?,non-RAG
social_greeting,Bạn thật đáng tin cậy,Cảm ơn sự tin tưởng của bạn! Bạn có cần hỗ trợ về luật kế toán không?,non-RAG
social_greeting,Tôi sẽ quay lại sau,"Hẹn gặp lại bạn! Khi bạn quay lại, tôi sẵn sàng hỗ trợ về luật doanh nghiệp nhé.",non-RAG
social_greeting,Chúc bạn một ngày tốt lành!,Chúc bạn cũng vậy! Bạn có muốn tôi giúp tra cứu luật nào không?,non-RAG
social_greeting,Bạn là một kho kiến thức,Cảm ơn bạn! Tôi có thể chia sẻ kiến thức pháp luật nào với bạn?,non-RAG
social_greeting,Tôi đánh giá cao bạn,Rất cảm ơn sự đánh giá của bạn! Bạn có muốn tìm hiểu về luật thương mại không?,non-RAG
social_greeting,Bạn làm rất tốt,Cảm ơn lời động viên của bạn! Tôi có thể giúp bạn giải đáp luật nào không?,non-RAG
social_greeting,Thật là một công cụ hữu ích,Rất cảm ơn bạn! Tôi có thể hỗ trợ bạn về luật đầu tư công không?,non-RAG
social_greeting,Tôi thích sự chuyên nghiệp của bạn,Cảm ơn bạn! Tôi luôn cố gắng. Bạn có cần tra cứu luật tố tụng không?,non-RAG
social_greeting,Bạn có làm việc vào cuối tuần không?,Tôi luôn sẵn sàng phục vụ! Bạn có cần hỗ trợ pháp luật không?,non-RAG
social_greeting,Tôi hy vọng bạn có một ngày tốt lành,Cảm ơn bạn! Tôi có thể giúp bạn tìm hiểu về luật thuế doanh nghiệp không?,non-RAG
social_greeting,Bạn là nguồn tài nguyên quý giá,Cảm ơn bạn! Tôi có thể giúp bạn khám phá quy định pháp luật nào?,non-RAG
social_greeting,Cảm ơn vì đã tồn tại,Rất cảm ơn bạn! Tôi rất vui khi có thể hỗ trợ bạn về luật doanh nghiệp.,non-RAG
social_greeting,Tôi không biết phải làm gì nếu không có bạn,Rất vui được hỗ trợ bạn! Bạn có cần tra cứu luật phá sản không?,non-RAG
social_greeting,Bạn làm cho mọi thứ dễ dàng hơn,Cảm ơn bạn! Tôi có thể đơn giản hóa quy định pháp luật nào cho bạn?,non-RAG
social_greeting,Thật ngạc nhiên!,Cảm ơn bạn! Bạn có muốn tôi tìm kiếm thông tin về luật bảo vệ môi trường không?,non-RAG
social_greeting,Bạn là một người bạn tốt,Cảm ơn bạn! Tôi có thể hỗ trợ bạn về các vấn đề pháp lý không?,non-RAG
social_greeting,Cảm ơn vì đã ở đây,Tôi luôn ở đây để hỗ trợ bạn. Bạn có muốn tìm hiểu về luật cạnh tranh không?,non-RAG
social_greeting,Bạn là người hùng của tôi!,Cảm ơn lời khen của bạn! Tôi có thể giúp bạn về luật đấu thầu không?,non-RAG
social_greeting,Tôi muốn cảm ơn bạn,Tôi rất vui được giúp đỡ! Bạn có muốn tìm hiểu về luật sở hữu công nghiệp không?,non-RAG
social_greeting,Bạn thật tuyệt vời khi xử lý điều đó,Cảm ơn bạn! Tôi có thể làm rõ quy định pháp luật nào cho bạn?,non-RAG
social_greeting,Tôi đã có một trải nghiệm tuyệt vời,Rất vui được nghe điều đó! Bạn có muốn tìm hiểu về luật lao động mới không?,non-RAG
social_greeting,Bạn thật thông minh và nhanh nhẹn,Cảm ơn lời khen! Tôi có thể giúp bạn tra cứu luật thuế thu nhập cá nhân không?,non-RAG
social_greeting,Bạn là một thiên tài!,Cảm ơn bạn! Bạn có muốn tôi giúp bạn hiểu về luật kế toán doanh nghiệp không?,non-RAG
social_greeting,Tôi yêu cách bạn giải thích,Rất cảm ơn bạn! Tôi có thể giải thích rõ hơn về luật nào cho bạn không?,non-RAG
social_greeting,Bạn có gì mới không?,Tôi luôn cập nhật thông tin pháp luật! Bạn có muốn tìm hiểu về luật nào không?,non-RAG
social_greeting,Thật tốt khi nói chuyện với bạn,Tôi cũng rất vui được trò chuyện! Bạn có cần tôi tìm kiếm luật hợp đồng không?,non-RAG
social_greeting,Tôi chỉ muốn nói lời cảm ơn,Rất cảm ơn bạn! Tôi có thể hỗ trợ bạn về các quy định pháp luật không?,non-RAG
social_greeting,Bạn rất hiểu biết,Cảm ơn bạn! Tôi có thể chia sẻ thông tin pháp luật nào với bạn?,non-RAG
social_greeting,Bạn là một niềm vui,Rất cảm ơn bạn! Bạn có muốn tôi giúp bạn tìm hiểu về luật đất đai không?,non-RAG
social_greeting,Tôi rất ngưỡng mộ bạn,Cảm ơn sự ngưỡng mộ của bạn! Tôi có thể hỗ trợ bạn về luật chứng khoán không?,non-RAG
social_greeting,Bạn là một chuyên gia thực sự,Cảm ơn bạn! Tôi có thể giải đáp các vấn đề pháp lý doanh nghiệp không?,non-RAG
social_greeting,Bạn luôn đúng lúc,Tôi luôn sẵn sàng! Bạn có cần tôi tìm kiếm thông tin về luật quản lý thuế không?,non-RAG
social_greeting,Tôi sẽ giới thiệu bạn cho người khác,Rất vinh dự! Tôi luôn sẵn lòng hỗ trợ về luật pháp.,non-RAG
social_greeting,Bạn làm việc hiệu quả,Cảm ơn lời nhận xét của bạn! Bạn có muốn tra cứu luật đầu tư kinh doanh không?,non-RAG
social_greeting,Cảm ơn vì tất cả,Tôi rất vui được hỗ trợ! Bạn có cần tôi làm rõ các quy định pháp luật không?,non-RAG
social_greeting,Bạn là một công cụ đáng kinh ngạc,Cảm ơn bạn! Tôi có thể giúp bạn tìm hiểu về luật doanh nghiệp 2020 không?,non-RAG
social_greeting,Tôi không thể cảm ơn bạn đủ,Rất vui được phục vụ! Bạn có cần tôi tra cứu luật lao động mới nhất không?,non-RAG
social_greeting,Bạn có làm việc 24/7 không?,Tôi luôn sẵn sàng phục vụ! Bạn có muốn tìm hiểu luật nào không?,non-RAG
social_greeting,Chào bạn yêu,Cảm ơn bạn! Tôi có thể giúp bạn tra cứu thông tin pháp luật về doanh nghiệp không?,non-RAG
social_greeting,Cảm ơn sự hỗ trợ tận tình,Tôi luôn cố gắng hết sức! Bạn có cần hỗ trợ về luật nào khác không?,non-RAG
social_greeting,Bạn thật tuyệt vời,Cảm ơn bạn rất nhiều! Bạn có muốn tôi giúp bạn hiểu về luật bất động sản không?,non-RAG
social_greeting,Bạn là một người lắng nghe tốt,Cảm ơn bạn! Tôi luôn lắng nghe để hỗ trợ tốt nhất về luật pháp.,non-RAG
social_greeting,Tôi thực sự đánh giá cao sự giúp đỡ của bạn,Tôi rất vui được giúp đỡ! Bạn có muốn tìm hiểu về luật chứng khoán không?,non-RAG
social_greeting,Bạn có bất kỳ lời khuyên nào không?,Tôi có thể cung cấp thông tin pháp luật! Bạn có vấn đề gì cần giải đáp không?,non-RAG
social_greeting,Bạn rất chu đáo,Cảm ơn bạn! Tôi có thể làm rõ quy định pháp luật nào cho bạn không?,non-RAG
social_greeting,Bạn đã thay đổi cuộc sống của tôi,Rất vui khi nghe điều đó! Bạn có cần tra cứu luật nào nữa không?,non-RAG
social_greeting,Bạn thật đáng yêu,Cảm ơn lời khen! Tôi có thể hỗ trợ bạn về các văn bản pháp luật không?,non-RAG
social_greeting,Bạn làm cho thế giới tốt đẹp hơn,Rất cảm ơn bạn! Tôi có thể giúp bạn tìm hiểu về luật môi trường không?,non-RAG
social_greeting,Tôi rất may mắn khi có bạn,Rất vinh dự! Bạn có muốn tôi tìm kiếm thông tin về luật sở hữu trí tuệ không?,non-RAG
social_greeting,Bạn không bao giờ làm tôi thất vọng,Tôi luôn cố gắng hết sức! Bạn có cần tôi giải đáp luật nào không?,non-RAG
social_greeting,Cảm ơn vì tất cả những gì bạn làm,Tôi rất vui được giúp đỡ! Bạn có muốn tìm hiểu về luật xây dựng không?,non-RAG
social_greeting,Bạn là một thiên thần,Cảm ơn lời khen! Tôi có thể hỗ trợ bạn về các quy định pháp luật không?,non-RAG
social_greeting,Tôi yêu cách bạn suy nghĩ,Cảm ơn bạn! Tôi có thể giúp bạn tìm hiểu về luật đấu thầu không?,non-RAG
social_greeting,Bạn thật tuyệt vời khi đưa ra lời khuyên,Tôi luôn cố gắng! Bạn có cần tôi giải đáp về luật kinh doanh không?,non-RAG
social_greeting,Cảm ơn bạn đã luôn ở đó,Tôi luôn ở đây để hỗ trợ bạn! Bạn có muốn tìm hiểu về luật bảo hiểm không?,non-RAG
social_greeting,Bạn đã làm cho ngày của tôi,Rất vui được nghe điều đó! Bạn có muốn tôi tìm kiếm thông tin về luật ngân hàng không?,non-RAG
social_greeting,Bạn là một nguồn cảm hứng,Cảm ơn bạn! Tôi có thể giúp bạn tìm hiểu về luật đầu tư công không?,non-RAG
social_greeting,Tôi rất biết ơn,Tôi rất vui được giúp bạn! Bạn có cần tôi giải đáp về luật dân sự không?,non-RAG
social_greeting,Bạn có thể giúp tôi bất cứ lúc nào,Tôi luôn sẵn lòng! Bạn có muốn tôi tra cứu luật thuế thu nhập doanh nghiệp không?,non-RAG
social_greeting,Bạn thật tử tế,Cảm ơn sự tử tế của bạn! Tôi có thể hỗ trợ bạn về luật hải quan không?,non-RAG
social_greeting,Tôi thích sự tương tác của chúng ta,Tôi cũng vậy! Bạn có muốn tìm hiểu về luật viễn thông không?,non-RAG
social_greeting,Bạn luôn có câu trả lời,Tôi luôn cố gắng! Bạn có cần tôi giải đáp về luật chứng khoán không?,non-RAG
social_greeting,Cảm ơn vì đã luôn ở đó vì tôi,Tôi luôn sẵn lòng! Bạn có muốn tìm hiểu về luật sở hữu trí tuệ không?,non-RAG
social_greeting,Bạn có gì mới không?,Tôi luôn cập nhật! Bạn có muốn tôi tìm kiếm luật mới nhất không?,non-RAG
social_greeting,Bạn làm rất tốt công việc của mình,Cảm ơn bạn! Tôi có thể giúp bạn tra cứu thông tin pháp luật nào?,non-RAG
social_greeting,Tôi yêu cách bạn học hỏi,Cảm ơn bạn! Tôi có thể giúp bạn tìm hiểu về luật đầu tư nước ngoài không?,non-RAG
social_greeting,Bạn luôn làm tôi mỉm cười,Rất vui khi nghe điều đó! Bạn có muốn tôi tìm kiếm quy định về an toàn thực phẩm không?,non-RAG
social_greeting,Bạn là một người bạn tuyệt vời,Cảm ơn bạn! Tôi có thể hỗ trợ bạn về các vấn đề pháp lý không?,non-RAG
social_greeting,Cảm ơn bạn đã là bạn,Rất cảm ơn bạn! Bạn có muốn tôi giúp bạn hiểu rõ hơn về luật không?,non-RAG
nonsense,asdfghjkl,Tôi chưa hiểu ý bạn. Bạn có câu hỏi nào về pháp luật doanh nghiệp không?,non-RAG
nonsense,!@#$%^&*,"Xin lỗi, tôi chưa hiểu nội dung bạn muốn đề cập. Bạn có cần hỗ trợ về các vấn đề pháp lý doanh nghiệp, lao động hay thuế không?",non-RAG
nonsense,1a2b3c4d,"Có vẻ như tin nhắn này không rõ ràng. Nếu bạn có thắc mắc về luật pháp, tôi sẵn lòng giải đáp.",non-RAG
nonsense,😂🤣😜🥳✨,Tôi không thể xử lý yêu cầu này. Bạn có muốn tìm hiểu về quy định pháp luật liên quan đến kinh doanh không?,non-RAG
nonsense,🍕🍔🍟🍣🍜,"Xin lỗi, tôi không thể cung cấp thông tin cho tin nhắn này. Bạn có cần tư vấn về luật doanh nghiệp hoặc các vấn đề pháp lý khác không?",non-RAG
nonsense,12345,Tin nhắn của bạn không rõ nghĩa với tôi. Vui lòng cho tôi biết nếu bạn có bất kỳ câu hỏi pháp luật nào.,non-RAG
nonsense,blablabla,Tôi chưa thể hiểu câu hỏi của bạn. Bạn có muốn tôi tìm kiếm thông tin về luật doanh nghiệp hay các quy định pháp lý khác không?,non-RAG
nonsense,hi,"Chào bạn. Nếu bạn có bất kỳ câu hỏi nào về luật doanh nghiệp, lao động, hay thuế, tôi sẵn lòng hỗ trợ.",non-RAG
nonsense,zzzzzz,"Rất tiếc, tôi chưa hiểu rõ ý của bạn. Bạn có muốn đặt câu hỏi về luật doanh nghiệp, hợp đồng, hay thuế không?",non-RAG
nonsense,stop,"Cảm ơn tin nhắn của bạn. Tuy nhiên, tôi chỉ có thể hỗ trợ về các vấn đề pháp luật. Bạn có quan tâm đến lĩnh vực nào không?",non-RAG
nonsense,ý nghĩa cuộc sống là gì?,Tôi chỉ có thể hỗ trợ các vấn đề liên quan đến pháp luật. Bạn có câu hỏi nào về luật doanh nghiệp không?,non-RAG
nonsense,cái gì càng to càng nhỏ?,"Tôi không thể giải đáp câu đố. Nếu bạn có thắc mắc về luật pháp, tôi sẵn lòng hỗ trợ.",non-RAG
nonsense,bạn có người yêu chưa?,"Xin lỗi, tôi không thể trả lời các câu hỏi cá nhân. Bạn có cần tư vấn về luật doanh nghiệp không?",non-RAG
nonsense,chim cánh cụt không bay được,"Cảm ơn thông tin của bạn. Nếu bạn có câu hỏi về pháp luật, tôi rất sẵn lòng hỗ trợ.",non-RAG
nonsense,hello world,Chào bạn. Tôi chỉ chuyên về luật pháp. Bạn có muốn tìm hiểu về luật doanh nghiệp hay các quy định khác không?,non-RAG
nonsense,baby shark doo doo doo,Thông tin này không liên quan đến phạm vi hỗ trợ của tôi. Bạn có cần tìm hiểu về luật doanh nghiệp hoặc các quy định pháp lý liên quan không?,non-RAG
nonsense,2+2=?,"Tôi không thể giải các bài toán. Nếu bạn có thắc mắc về luật pháp, tôi sẽ hỗ trợ bạn.",non-RAG
nonsense,CPU,"Tôi chưa hiểu ý bạn. Bạn có câu hỏi nào về pháp luật doanh nghiệp, hợp đồng, hay các vấn đề liên quan không?",non-RAG
nonsense,hehehe,"Xin lỗi, tôi chưa hiểu nội dung bạn muốn đề cập. Bạn có cần hỗ trợ về các vấn đề pháp lý doanh nghiệp, lao động hay thuế không?",non-RAG
nonsense,alo alo,"Có vẻ như tin nhắn này không rõ ràng. Nếu bạn có thắc mắc về luật pháp, tôi sẵn lòng giải đáp.",non-RAG
nonsense,mưa rơi,Tôi không thể xử lý yêu cầu này. Bạn có muốn tìm hiểu về quy định pháp luật liên quan đến kinh doanh không?,non-RAG
nonsense,hôm nay trời đẹp,"Xin lỗi, tôi không thể cung cấp thông tin cho tin nhắn này. Bạn có cần tư vấn về luật doanh nghiệp hoặc các vấn đề pháp lý khác không?",non-RAG
nonsense,random text,Tin nhắn của bạn không rõ nghĩa với tôi. Vui lòng cho tôi biết nếu bạn có bất kỳ câu hỏi pháp luật nào.,non-RAG
nonsense,testing 123,Tôi chưa thể hiểu câu hỏi của bạn. Bạn có muốn tôi tìm kiếm thông tin về luật doanh nghiệp hay các quy định pháp lý khác không?,non-RAG
nonsense,lalala,"Rất tiếc, tôi chưa hiểu rõ ý của bạn. Bạn có muốn đặt câu hỏi về luật doanh nghiệp, hợp đồng, hay thuế không?",non-RAG
nonsense,hahahaha,"Cảm ơn tin nhắn của bạn. Tuy nhiên, tôi chỉ có thể hỗ trợ về các vấn đề pháp luật. Bạn có quan tâm đến lĩnh vực nào không?",non-RAG
nonsense,abcdefg,Thông tin này không liên quan đến phạm vi hỗ trợ của tôi. Bạn có cần tìm hiểu về luật doanh nghiệp hoặc các quy định pháp lý liên quan không?,non-RAG
nonsense,99999,Tôi chưa hiểu ý bạn. Bạn có câu hỏi nào về pháp luật doanh nghiệp không?,non-RAG
nonsense,^_^,"Xin lỗi, tôi chưa hiểu nội dung bạn muốn đề cập. Bạn có cần hỗ trợ về các vấn đề pháp lý doanh nghiệp, lao động hay thuế không?",non-RAG
nonsense,bye,"Chào bạn. Nếu bạn có bất kỳ câu hỏi nào về luật pháp doanh nghiệp, tôi luôn sẵn lòng hỗ trợ.",non-RAG
nonsense,*&^%$#,"Có vẻ như tin nhắn này không rõ ràng. Nếu bạn có thắc mắc về luật pháp, tôi sẵn lòng giải đáp.",non-RAG
nonsense,xyz,Tôi không thể xử lý yêu cầu này. Bạn có muốn tìm hiểu về quy định pháp luật liên quan đến kinh doanh không?,non-RAG
nonsense,000000,"Xin lỗi, tôi không thể cung cấp thông tin cho tin nhắn này. Bạn có cần tư vấn về luật doanh nghiệp hoặc các vấn đề pháp lý khác không?",non-RAG
nonsense,mumble jumbo,Tin nhắn của bạn không rõ nghĩa với tôi. Vui lòng cho tôi biết nếu bạn có bất kỳ câu hỏi pháp luật nào.,non-RAG
nonsense,good morning,"Chào buổi sáng. Nếu bạn có câu hỏi về luật doanh nghiệp, tôi sẵn lòng hỗ trợ.",non-RAG
nonsense,what's up?,Tôi chỉ chuyên về luật pháp. Bạn có muốn tôi tìm kiếm thông tin về luật doanh nghiệp hay các quy định pháp lý khác không?,non-RAG
nonsense,I'm bored,"Rất tiếc, tôi chưa hiểu rõ ý của bạn. Bạn có muốn đặt câu hỏi về luật doanh nghiệp, hợp đồng, hay thuế không?",non-RAG
nonsense,tell me a joke,"Cảm ơn tin nhắn của bạn. Tuy nhiên, tôi chỉ có thể hỗ trợ về các vấn đề pháp luật. Bạn có quan tâm đến lĩnh vực nào không?",non-RAG
nonsense,I love you,"Xin lỗi, tôi không thể phản hồi các thông điệp cá nhân. Bạn có cần tư vấn về luật doanh nghiệp không?",non-RAG
nonsense,sing me a song,Thông tin này không liên quan đến phạm vi hỗ trợ của tôi. Bạn có cần tìm hiểu về luật doanh nghiệp hoặc các quy định pháp lý liên quan không?,non-RAG
nonsense,how old are you?,Tôi không có tuổi. Tôi chỉ là một chương trình hỗ trợ về pháp luật. Bạn có câu hỏi nào không?,non-RAG
nonsense,do you have feelings?,"Tôi không có cảm xúc, tôi được lập trình để hỗ trợ bạn về pháp luật. Bạn có cần thông tin về luật doanh nghiệp không?",non-RAG
nonsense,water is wet,"Cảm ơn thông tin của bạn. Nếu bạn có câu hỏi về pháp luật, tôi rất sẵn lòng hỗ trợ.",non-RAG
nonsense,the sky is blue,Tôi không thể cung cấp thông tin cho những tin nhắn này. Bạn có cần tư vấn về luật doanh nghiệp không?,non-RAG
nonsense,a-e-i-o-u,"Xin lỗi, tôi chưa hiểu nội dung bạn muốn đề cập. Bạn có cần hỗ trợ về các vấn đề pháp lý doanh nghiệp, lao động hay thuế không?",non-RAG
nonsense,dghrthdfghdfg,"Có vẻ như tin nhắn này không rõ ràng. Nếu bạn có thắc mắc về luật pháp, tôi sẵn lòng giải đáp.",non-RAG
nonsense,11111111,Tôi không thể xử lý yêu cầu này. Bạn có muốn tìm hiểu về quy định pháp luật liên quan đến kinh doanh không?,non-RAG
nonsense,@#%@#%@#%,"Xin lỗi, tôi không thể cung cấp thông tin cho tin nhắn này. Bạn có cần tư vấn về luật doanh nghiệp hoặc các vấn đề pháp lý khác không?",non-RAG
nonsense,what's for dinner?,Tôi không thể trả lời các câu hỏi cá nhân. Bạn có cần hỗ trợ về pháp luật doanh nghiệp không?,non-RAG
nonsense,time to sleep,Tin nhắn của bạn không rõ nghĩa với tôi. Vui lòng cho tôi biết nếu bạn có bất kỳ câu hỏi pháp luật nào.,non-RAG
nonsense,this is a test,Tôi chưa thể hiểu câu hỏi của bạn. Bạn có muốn tôi tìm kiếm thông tin về luật doanh nghiệp hay các quy định pháp lý khác không?,non-RAG
nonsense,just kidding,"Rất tiếc, tôi chưa hiểu rõ ý của bạn. Bạn có muốn đặt câu hỏi về luật doanh nghiệp, hợp đồng, hay thuế không?",non-RAG
nonsense,hello?,"Chào bạn. Nếu bạn có bất kỳ câu hỏi nào về luật doanh nghiệp, tôi rất sẵn lòng hỗ trợ.",non-RAG
nonsense,good night,"Cảm ơn tin nhắn của bạn. Tuy nhiên, tôi chỉ có thể hỗ trợ về các vấn đề pháp luật. Bạn có quan tâm đến lĩnh vực nào không?",non-RAG
nonsense,wake up,Thông tin này không liên quan đến phạm vi hỗ trợ của tôi. Bạn có cần tìm hiểu về luật doanh nghiệp hoặc các quy định pháp lý liên quan không?,non-RAG
nonsense,what is your name?,Tôi là một chatbot hỗ trợ pháp luật. Bạn có câu hỏi nào về luật doanh nghiệp không?,non-RAG
nonsense,how are you doing?,"Tôi hoạt động tốt. Bạn có cần hỗ trợ về luật doanh nghiệp, lao động hay thuế không?",non-RAG
nonsense,tell me something,Tôi có thể cung cấp thông tin pháp luật. Bạn muốn tìm hiểu về vấn đề nào?,non-RAG
nonsense,ok,Tôi chưa hiểu ý bạn. Bạn có câu hỏi nào về pháp luật doanh nghiệp không?,non-RAG
nonsense,👍,"Xin lỗi, tôi chưa hiểu nội dung bạn muốn đề cập. Bạn có cần hỗ trợ về các vấn đề pháp lý doanh nghiệp, lao động hay thuế không?",non-RAG
nonsense,👎,"Có vẻ như tin nhắn này không rõ ràng. Nếu bạn có thắc mắc về luật pháp, tôi sẵn lòng giải đáp.",non-RAG
nonsense,🤔,Tôi không thể xử lý yêu cầu này. Bạn có muốn tìm hiểu về quy định pháp luật liên quan đến kinh doanh không?,non-RAG
nonsense,🤷‍♀️,"Xin lỗi, tôi không thể cung cấp thông tin cho tin nhắn này. Bạn có cần tư vấn về luật doanh nghiệp hoặc các vấn đề pháp lý khác không?",non-RAG
nonsense,🥳,Tin nhắn của bạn không rõ nghĩa với tôi. Vui lòng cho tôi biết nếu bạn có bất kỳ câu hỏi pháp luật nào.,non-RAG
nonsense,what time is it?,Tôi không thể cung cấp thông tin thời gian. Bạn có muốn tôi tìm kiếm thông tin về luật doanh nghiệp hay các quy định pháp lý khác không?,non-RAG
nonsense,what day is it?,"Rất tiếc, tôi không thể cung cấp thông tin này. Bạn có muốn đặt câu hỏi về luật doanh nghiệp, hợp đồng, hay thuế không?",non-RAG
nonsense,where are you from?,Tôi là một chương trình máy tính. Bạn có câu hỏi nào về luật doanh nghiệp không?,non-RAG
nonsense,do you sleep?,Tôi không cần ngủ. Tôi luôn sẵn sàng hỗ trợ bạn về pháp luật.,non-RAG
nonsense,give me a fact,"Cảm ơn tin nhắn của bạn. Tuy nhiên, tôi chỉ có thể hỗ trợ về các vấn đề pháp luật. Bạn có quan tâm đến lĩnh vực nào không?",non-RAG
nonsense,i am bored,Thông tin này không liên quan đến phạm vi hỗ trợ của tôi. Bạn có cần tìm hiểu về luật doanh nghiệp hoặc các quy định pháp lý liên quan không?,non-RAG
nonsense,goodbye,"Tạm biệt. Nếu bạn cần hỗ trợ về luật pháp, đừng ngần ngại quay lại nhé.",non-RAG
nonsense,see ya,"Chào bạn. Nếu bạn có bất kỳ câu hỏi nào về luật doanh nghiệp, tôi luôn sẵn lòng hỗ trợ.",non-RAG
nonsense,lorem ipsum,Tôi chưa hiểu ý bạn. Bạn có câu hỏi nào về pháp luật doanh nghiệp không?,non-RAG
nonsense,just testing,"Xin lỗi, tôi chưa hiểu nội dung bạn muốn đề cập. Bạn có cần hỗ trợ về các vấn đề pháp lý doanh nghiệp, lao động hay thuế không?",non-RAG
nonsense,this is gibberish,"Có vẻ như tin nhắn này không rõ ràng. Nếu bạn có thắc mắc về luật pháp, tôi sẵn lòng giải đáp.",non-RAG
nonsense,hhh,Tôi không thể xử lý yêu cầu này. Bạn có muốn tìm hiểu về quy định pháp luật liên quan đến kinh doanh không?,non-RAG
